oo,Institucion,ID_Plantel,Plantel,Ubicacion,LAT,LONG
1,DGCFT,1,CECATI 1,"CALZ. AZCAPOTZALCO-LA VILLA NO. 304 , STA. CATARINA",19.490238,-99.175834
2,DGCFT,2,CECATI 2,"CANOA NO. 202 , TIZAPAN",19.3347764,-99.2036895
3,DGCFT,3,CECATI 3,"FRAY SERVANDO TERESA DE MIER Y SUR 103 , AERONAUTICA MILITAR",19.4229827,-99.1196165
4,DGCFT,4,CECATI 4,"PRESA SALINILLAS No. 391 , IRRIGACION",19.4449983,-99.2176236
11,DGCFT,11,CECATI 11,"CALZ. AZCAPOTZALCO-LA VILLA N?. 304 BIS , STA. CATARINA",19.4893347,-99.1775613
12,DGCFT,12,CECATI 12,"AV. ATZACOALCO NO. 7700 , CONSTITUCION DE LA REPUBLICA",19.4851315,-99.1045191
13,DGCFT,13,CECATI 13,"CALLE MUSEO S/N ESQ. DIVISION DEL NORTE , EL ROSARIO",19.3268367,-99.1439125
14,DGCFT,14,CECATI 14,"PLAZA BENITO JUAREZ, ESQ. SUR 157 , GABRIEL RAMOS MILLAN",19.3940274,-99.0986967
15,DGCFT,25,CECATI 25,"AV. MAZATLAN NO. 10 , CONDESA",19.4172688,-99.1771693
16,DGCFT,58,CECATI 58,"LERDO N? 322 , SAN SIMON TOLNAHUAC",19.4562855,-99.1426246
17,DGCFT,66,CECATI 66,"MORAS N? 519 , DEL VALLE",19.3719026,-99.1767367
18,DGCFT,73,CECATI 73,"LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELA",19.3817125,-99.099822
19,DGCFT,74,CECATI 74,"CZDA. DE GUADALUPE No. 720 , INDUSTRIAL",19.4822827,-99.1206106
20,DGCFT,75,CECATI 75,"AV. TICOMAN No. 159 ESQ. CALLE LIMA , LINDAVISTA",19.4971898,-99.1254088
21,DGCFT,99,CECATI 99,"JOAQUIN ROMO No.144 , MIGUEL HIDALGO",19.292722,-99.1850527
22,DGCFT,108,CECATI 108,"CALZ. AZCAPOTZALCO-LA VILLA No. 304.C , STA. CATARINA",19.4884379,-99.1783432
23,DGCFT,127,CECATI 127,"PROLONG. CALLE DEL RIO No.10 , TORIELLO GUERRA",19.2976535,-99.1653429
24,DGCFT,128,CECATI 128,"AV. 669 ESQ. AV. 606 , SAN JUAN DE ARAGON IV SECCION",19.4561656,-99.0621483
25,DGCFT,152,CECATI 152,"LAGO XOCHIMILCO NO.19 , ANAHUAC",19.4494331,-99.1800162
26,DGCFT,153,CECATI 153,"CALZ. VALLEJO NO. 41 ESQ. CON EJE CENTRAL CARDENAS , SAN SIMON TOLNAHUAC",19.4567586,-99.1404057
27,DGCFT,155,CECATI 155,"AV. AZCAPOTZALCO S/N ESQ.NUEVA JERUSALEN , AZCAPOTZALCO",19.483382,-99.187984
28,DGCFT,156,CECATI 156,"CALLE FCO. VILLA MZ.7 S/N , TLALPEXCO, CUAUTEPEC BARRIO ALTO",19.548775,-99.1265567
29,DGCFT,157,CECATI 157,"CALZ. DE LAS BOMBAS S/N , CTM CULHUACAN",19.310343,-99.1086467
30,DGCFT,158,CECATI 158,"BERLIOZ No. 82 , EX-HIPODROMO DE PERALVILLO",19.4578235,-99.1357984
31,DGCFT,162,CECATI 162,"NARANJO NO. 110 , SANTA MAR?A LA RIBERA",19.4477858,-99.1613466
32,DGCFT,167,CECATI 167,"PERSEO N?. 139 , PRADO CHURUBUSCO",19.3526824,-99.1275828
33,DGCFT,171,CECATI 171,"AV. VILLA FRANQUEZA NO. 33 , MIXCOATL",19.4136992,-99.0813072
34,DGCFT,173,CECATI 173,"CALZ. TLALPAN No. 1021 , AMERICAS UNIDAS",19.3821359,-99.1422826
35,DGCFT,176,CECATI 176,"AV. RAFAEL ATLIXCO S/N , GUADALUPE DEL MORAL",19.362689,-99.0768107
36,DGCFT,187,CECATI 187,"ANTILLAS S/N ENTRE VICTOR HUGO Y MUNICIPIO LIBRE , PORTALES",19.3688372,-99.1448853
37,DGCFT,188,CECATI 188,"CALZ. REFORMA AGRARIA S/N , STA. CECILIA",19.2765962,-99.010333
38,DGCFT,194,CECATI 194,"PROLONGACION CALLE DE ARTIFICIOS S/N , EL CAPULIN",19.3958025,-99.2146808
39,DGCFT,SEODF,Subdireccion de Enlace Operativo de la D.G.C.F.T. ,"PELUQUEROS 168 BIS , MICHOACANA",19.4460662,-99.1161651
